,name,country_id,active
158,Norman Y. Mineta San Jose International Airport,US,yes
159,Salt Lake City International Airport,US,yes
160,Sacramento International Airport,US,yes
161,St Louis Lambert International Airport,US,yes
162,Syracuse Hancock International Airport,US,yes
163,Tampa International Airport,US,yes
164,Tulsa International Airport,US,yes
165,Tirana International Airport Mother Teresa,AL,yes
166,Burgas Airport,BG,yes
167,Sofia Airport,BG,yes
168,Varna Airport,BG,yes
169,Larnaca International Airport,CY,yes
170,Zagreb Airport,HR,yes
171,Alicante-Elche Miguel Hernández Airport,ES,yes
172,Josep Tarradellas Barcelona-El Prat Airport,ES,yes
173,Ibiza Airport,ES,yes
174,Adolfo Suárez Madrid–Barajas Airport,ES,yes
175,Málaga-Costa del Sol Airport,ES,yes
176,Palma de Mallorca Airport,ES,yes
177,Santiago-Rosalía de Castro Airport,ES,yes
178,Bordeaux-Mérignac Airport,FR,yes
179,Toulouse-Blagnac Airport,FR,yes
180,Lyon Saint-Exupéry Airport,FR,yes
181,Marseille Provence Airport,FR,yes
182,Nice-Côte d'Azur Airport,FR,yes
183,Charles de Gaulle International Airport,FR,yes
184,Paris-Orly Airport,FR,yes
185,EuroAirport Basel-Mulhouse-Freiburg Airport,FR,yes
186,Athens Eleftherios Venizelos International Airport,GR,yes
187,Heraklion International Nikos Kazantzakis Airport,GR,yes
188,Thessaloniki Macedonia International Airport,GR,yes
189,Budapest Liszt Ferenc International Airport,HU,yes
190,Lake Havasu City International Airport,US,yes
191,Bari Karol Wojtyła Airport,IT,yes
192,Brindisi Airport,IT,yes
193,Catania-Fontanarossa Airport,IT,yes
194,Falcone–Borsellino Airport,IT,yes
195,Cagliari Elmas Airport,IT,yes
196,Malpensa International Airport,IT,yes
197,Milan Bergamo Airport,IT,yes
198,Turin Airport,IT,yes
199,Bologna Guglielmo Marconi Airport,IT,yes
200,Verona-Villafranca Valerio Catullo Airport,IT,yes
201,Venice Marco Polo Airport,IT,yes
202,Rome–Fiumicino Leonardo da Vinci International Airport,IT,yes
203,Naples International Airport,IT,yes
204,Pisa International Airport,IT,yes
205,Ljubljana Jože Pučnik Airport,SI,yes
206,Václav Havel Airport Prague,CZ,yes
207,Ben Gurion International Airport,IL,yes
208,Ramon International Airport,IL,yes
209,Malta International Airport,MT,yes
210,Vienna International Airport,AT,yes
211,Faro Airport,PT,yes
212,João Paulo II Airport,PT,yes
213,Francisco de Sá Carneiro Airport,PT,yes
214,Humberto Delgado Airport (Lisbon Portela Airport),PT,yes
215,Henri Coandă International Airport,RO,yes
216,Geneva Cointrin International Airport,CH,yes
217,Zürich Airport,CH,yes
218,Esenboğa International Airport,TR,yes
219,Antalya International Airport,TR,yes
220,İstanbul Atatürk Airport,TR,yes
221,Adnan Menderes International Airport,TR,yes
222,Dalaman International Airport,TR,yes
223,Milas Bodrum International Airport,TR,yes
224,Istanbul Sabiha Gökçen International Airport,TR,yes
225,İstanbul Airport,TR,yes
226,Skopje International Airport,MK,yes
227,Belgrade Nikola Tesla Airport,RS,yes
228,Podgorica Airport / Podgorica Golubovci Airbase,ME,yes
229,M. R. Štefánik Airport,SK,yes
230,Providenciales International Airport,TC,yes
231,Punta Cana International Airport,DO,yes
232,Las Américas International Airport,DO,yes
233,La Aurora Airport,GT,yes
234,Norman Manley International Airport,JM,yes
235,General Juan N Alvarez International Airport,MX,yes
236,Don Miguel Hidalgo Y Costilla International Airport,MX,yes
237,General Ignacio P. Garcia International Airport,MX,yes
238,Licenciado Benito Juarez International Airport,MX,yes
239,General Rafael Buelna International Airport,MX,yes
240,President Gustavo Díaz Ordaz International Airport,MX,yes
241,Los Cabos International Airport,MX,yes
242,Santa Lucía Air Force Base / General Felipe Ángeles International Airport,MX,no
243,General Abelardo L. Rodríguez International Airport,MX,yes
244,Cancún International Airport,MX,yes
245,Tocumen International Airport,PA,yes
246,Guanacaste Airport,CR,yes
247,Monseñor Óscar Arnulfo Romero International Airport,SV,yes
248,Toussaint Louverture International Airport,HT,yes
249,José Martí International Airport,CU,yes
250,Juan Gualberto Gomez International Airport,CU,yes
251,Owen Roberts International Airport,KY,yes
252,Lynden Pindling International Airport,BS,yes
253,Philip S. W. Goldson International Airport,BZ,yes
254,Rarotonga International Airport,CK,yes
255,Faa'a International Airport,PF,yes
256,Bauerfield International Airport,VU,yes
257,Nouméa Magenta Airport,NC,yes
258,Auckland International Airport,NZ,yes
259,Christchurch International Airport,NZ,yes
260,Wellington International Airport,NZ,yes
261,Bahrain International Airport,BH,yes
262,King Fahd International Airport,SA,yes
263,King Abdulaziz Air Base,SA,no
264,King Abdulaziz International Airport,SA,yes
265,Prince Mohammad Bin Abdulaziz Airport,SA,yes
266,King Khaled International Airport,SA,yes
267,Imam Khomeini International Airport,IR,yes
268,Mehrabad International Airport,IR,yes
269,Mashhad International Airport,IR,yes
270,Shiraz Shahid Dastghaib International Airport,IR,yes
271,Queen Alia International Airport,JO,yes
272,Kuwait International Airport,KW,yes
273,Beirut Rafic Hariri International Airport,LB,yes
274,Duqm International Airport,OM,yes
275,Abu Dhabi International Airport,AE,yes
276,Dubai International Airport,AE,yes
277,Al Maktoum International Airport,AE,yes
278,Sharjah International Airport,AE,yes
279,Muscat International Airport,OM,yes
280,Islamabad International Airport,PK,yes
281,Jinnah International Airport,PK,yes
282,Allama Iqbal International Airport,PK,yes
283,Baghdad International Airport / New Al Muthana Air Base,IQ,yes
284,Damascus International Airport,SY,yes
285,Hamad International Airport,QA,yes
286,Fairbanks International Airport,US,yes
287,Ted Stevens Anchorage International Airport,US,yes
288,Antonio B. Won Pat International Airport,GU,yes
289,Daniel K Inouye International Airport,US,yes
290,Kaohsiung International Airport,TW,yes
291,Taiwan Taoyuan International Airport,TW,yes
292,Narita International Airport,JP,yes
293,Kansai International Airport,JP,yes
294,New Chitose Airport,JP,yes
295,Fukuoka Airport,JP,yes
296,Kagoshima Airport,JP,yes
297,Chubu Centrair International Airport,JP,yes
298,Osaka International Airport,JP,yes
299,Sendai Airport,JP,yes
300,Tokyo Haneda International Airport,JP,yes
301,Yokota Air Base,JP,no
302,Muan International Airport,KR,yes
303,Jeju International Airport,KR,yes
304,Gimhae International Airport,KR,yes
305,Incheon International Airport,KR,yes
306,Gimpo International Airport,KR,yes
307,Naha Airport / JASDF Naha Air Base,JP,yes
308,Kadena Air Base,JP,no
309,Ninoy Aquino International Airport,PH,yes
310,Francisco Bangoy International Airport,PH,yes
311,Mactan Cebu International Airport,PH,yes
312,Lipetsk Air Base,RU,no
313,Olenya Air Base,RU,no
314,Jorge Newbery Airpark,AR,yes
315,Ministro Pistarini International Airport,AR,yes
316,Val de Cans/Júlio Cezar Ribeiro International Airport,BR,yes
317,Presidente Juscelino Kubitschek International Airport,BR,yes
318,Tancredo Neves International Airport,BR,yes
319,Eduardo Gomes International Airport,BR,yes
320,Hercílio Luz International Airport,BR,yes
321,Rio Galeão – Tom Jobim International Airport,BR,yes
322,Guarulhos - Governador André Franco Montoro International Airport,BR,yes
323,Deputado Luiz Eduardo Magalhães International Airport,BR,yes
324,Comodoro Arturo Merino Benítez International Airport,CL,yes
325,José Joaquín de Olmedo International Airport,EC,yes
326,Mariscal Sucre International Airport,EC,yes
327,El Dorado International Airport,CO,yes
328,Viru Viru International Airport,BO,yes
329,Johan Adolf Pengel International Airport,SR,yes
330,Cayenne – Félix Eboué Airport,GF,yes
331,Jorge Chávez International Airport,PE,yes
332,Alejandro Velasco Astete International Airport,PE,yes
333,Carrasco International /General C L Berisso Airport,UY,yes
334,General José Antonio Anzoategui International Airport,VE,yes
335,Simón Bolívar International Airport,VE,yes
336,Qingdao Jiaodong International Airport,CN,yes
337,Martinique Aimé Césaire International Airport,MQ,yes
338,Pointe-à-Pitre Le Raizet International  Airport,GP,yes
339,Luis Munoz Marin International Airport,PR,yes
340,Hewanorra International Airport,LC,yes
341,Queen Beatrix International Airport,AW,yes
342,Flamingo International Airport,BQ,yes
343,Hato International Airport,CW,yes
344,Princess Juliana International Airport,SX,yes
345,Almaty International Airport,KZ,yes
346,Nursultan Nazarbayev International Airport,KZ,yes
347,Manas International Airport,KG,yes
348,Hazrat Sultan International Airport,KZ,yes
349,Heydar Aliyev International Airport,AZ,yes
350,Zvartnots International Airport,AM,yes
351,Tbilisi International Airport,GE,yes
352,Vladivostok International Airport,RU,yes
353,Boryspil International Airport,UA,yes
354,Lviv International Airport,UA,yes
355,Pulkovo Airport,RU,yes
356,Minsk National Airport,BY,yes
357,Krasnoyarsk International Airport,RU,yes
358,Novosibirsk Tolmachevo Airport,RU,yes
359,Platov International Airport,RU,yes
360,Sochi International Airport,RU,yes
361,CLICK HERE TO APPLY FOR URGENT LOAN,US,no
362,CLICK HERE TO APPLY FOR URGENT LOAN,US,no
363,CLICK HERE TO APPLY FOR URGENT LOAN,US,no
364,CLICK HERE TO APPLY FOR URGENT LOAN,US,no
